n, tiempo_bck
1, 290
2, 882
3, 2653
4, 4874
5, 10110
6, 21370
7, 51220
8, 88344
9, 178851
10, 361836
11, 775301
12, 1534002
13, 2955818
14, 5995760
15, 12166396
16, 24171183
17, 47656375
18, 117334750
19, 279303500
20, 392309000
21, 777424000
22, 1550397000
23, 3189668000
24, 6476098000
25, 12834389000
26, 25268215000
27, 50018177000
28, 102165000000
