n, tiempo_bck
1, 0
2, 0, 0
3, 0, 0, 0
4, 999000, 0, 0, 0
5, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 1000000, 0
8, 0, 0, 0, 0, 0, 0, 0, 997000
9, 0, 1000000, 0, 0, 0, 0, 0, 0, 0
10, 1000000, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998000, 0
13, 998000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000000, 0
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998000, 0, 0, 0
15, 0, 999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 999000
16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998000, 0, 0, 999000, 0, 999000
17, 0, 0, 0, 0, 0, 1000000, 0, 0, 0, 999000, 0, 0, 0, 1000000, 999000, 999000, 2001000
18, 0, 0, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 0, 0, 999000, 0, 2000000, 999000, 1998000
19, 1000000, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 0, 0, 0, 1000000, 999000, 0, 2998000, 1998000, 1999000
20, 999000, 0, 0, 0, 0, 0, 0, 0, 0, 1000000, 0, 0, 0, 999000, 999000, 1000000, 998000, 1998000, 2998000, 3997000
21, 0, 999000, 0, 0, 0, 999000, 0, 0, 999000, 0, 999000, 0, 1000000, 1001000, 997000, 1001000, 999000, 3000000, 3994000, 3998000, 5997000
22, 1000000, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 0, 0, 1000000, 0, 998000, 1999000, 1998000, 2000000, 4996000, 5996000, 8994000
23, 2000000, 0, 998000, 0, 999000, 0, 1000000, 0, 999000, 999000, 2000000, 2013000, 0, 1985000, 997000, 1000000, 999000, 1999000, 2998000, 4996000, 5996000, 9993000, 14990000
24, 1000000, 0, 0, 0, 0, 0, 999000, 0, 0, 0, 1000000, 0, 999000, 999000, 1000000, 999000, 1000000, 1998000, 2998000, 3997000, 6995000, 9993000, 14990000, 19986000
25, 1999000, 0, 999000, 0, 1000000, 999000, 0, 999000, 999000, 999000, 2000000, 1998000, 1000000, 1998000, 1000000, 1998000, 1999000, 1998000, 2997000, 5996000, 7995000, 9994000, 15988000, 28980000, 32977000
26, 1998000, 0, 0, 0, 1000000, 0, 0, 0, 999000, 0, 0, 999000, 999000, 1035000, 1964000, 999000, 1000000, 2996000, 2999000, 3997000, 6995000, 9992000, 14991000, 23983000, 34976000, 48964000
27, 4995000, 999000, 1000000, 0, 1000000, 0, 1000000, 0, 1998000, 998000, 1999000, 2999000, 8993000, 6994000, 999000, 4997000, 1999000, 2998000, 2997000, 4997000, 6996000, 10992000, 13990000, 24983000, 37973000, 53962000, 81942000
28, 3997000, 0, 999000, 0, 0, 0, 998000, 0, 2001000, 0, 997000, 0, 2001000, 999000, 1998000, 998000, 2999000, 1998000, 2998000, 3997000, 8993000, 10993000, 15988000, 32977000, 41972000, 75946000, 100929000, 123912000
29, 7995000, 0, 999000, 998000, 999000, 1998000, 3998000, 1000000, 2998000, 2998000, 2997000, 3999000, 8993000, 7994000, 3997000, 5996000, 2998000, 4996000, 3998000, 4996000, 7995000, 10991000, 14990000, 24982000, 35975000, 62956000, 88937000, 126911000, 190866000
30, 9992000, 0, 1998000, 0, 1000000, 0, 999000, 0, 2998000, 0, 999000, 999000, 3997000, 1000000, 4996000, 2999000, 5996000, 1998000, 4996000, 3997000, 6995000, 9993000, 15989000, 22987000, 36971000, 53962000, 92934000, 143900000, 197861000, 282801000
31, 14988000, 999000, 3997000, 999000, 3999000, 999000, 4997000, 1998000, 1999000, 2998000, 4996000, 3997000, 8993000, 8995000, 34974000, 15989000, 4997000, 9993000, 3998000, 15989000, 14989000, 21984000, 19986000, 27981000, 35974000, 54962000, 88937000, 131909000, 202856000, 321774000, 454680000
32, 14990000, 0, 999000, 0, 999000, 0, 1000000, 0, 1998000, 0, 998000, 1002000, 998000, 999000, 5996000, 2997000, 5997000, 2998000, 4996000, 4996000, 8995000, 9992000, 15989000, 22984000, 34975000, 54966000, 82937000, 131908000, 201858000, 318776000, 476665000, 715497000
33, 30979000, 999000, 4996000, 999000, 3997000, 999000, 3997000, 2998000, 2036000, 4960000, 8994000, 4997000, 9993000, 8993000, 35975000, 26982000, 8993000, 22983000, 6996000, 14988000, 7996000, 14989000, 16988000, 25982000, 36973000, 56961000, 85126000, 135905000, 215848000, 321774000, 505151000, 744599000, 1101225000
34, 48966000, 0, 9993000, 0, 1998000, 0, 1999000, 998000, 5997000, 1000000, 21983000, 2001000, 5994000, 3000000, 16986000, 10992000, 56961000, 10991000, 30979000, 8995000, 18986000, 12991000, 21984000, 24983000, 37973000, 57959000, 105927000, 133141000, 216953000, 331096000, 509948000, 805026000, 1211752000, 1817203000
