1,0
2,0
3,0.02
4,0.02
5,0.15
6,0.15
7,0.38
8,1.12
9,3.52
10,8.83
11,20.72
12,45.1
13,99.92
14,223.49
15,511.24
16,1076.14
17,2331.55
18,4910.93
19,10373.1
20,22051.2
