n, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
1, 0
2, 0, 0
3, 0, 0, 0
4, 0, 0, 0, 0
5, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0, 0, 0, 0, 0, 0, 1003000, 0
10, 0, 0, 0, 999000, 0, 0, 0, 0, 0, 0
11, 0, 0, 0, 0, 0, 0, 0, 0, 998000, 0, 0
12, 0, 0, 0, 0, 0, 0, 0, 0, 1001000, 0, 0, 999000
13, 0, 0, 0, 0, 0, 0, 0, 0, 999000, 0, 999000, 0, 1000000
14, 1000000, 0, 0, 0, 0, 0, 0, 0, 0, 999000, 0, 1000000, 0, 998000
15, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 0, 1000000, 0, 999000, 999000, 1999000
16, 0, 0, 0, 0, 0, 0, 0, 0, 1000000, 0, 0, 999000, 998000, 1000000, 1000000, 2999000
17, 0, 0, 0, 0, 0, 0, 1000000, 0, 0, 0, 1000000, 999000, 998000, 1000000, 2000000, 1998000, 2999000
18, 0, 0, 0, 1000000, 0, 0, 0, 0, 0, 999000, 0, 1000000, 998000, 1001000, 1998000, 3997000, 3996000, 3998000
19, 0, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 1000000, 999000, 999000, 1998000, 2999000, 2999000, 5518000, 6983000
20, 0, 0, 0, 0, 0, 0, 1002000, 0, 0, 999000, 0, 999000, 999000, 1000000, 2997000, 2998000, 2998000, 4996000, 7996000, 9993000
21, 0, 0, 0, 0, 0, 0, 1000000, 0, 0, 999000, 0, 999000, 999000, 1000000, 2998000, 1999000, 3997000, 4997000, 7994000, 9994000, 13993000
22, 0, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 0, 999000, 999000, 1999000, 2999000, 1998000, 3998000, 5995000, 6995000, 11992000, 13990000, 18986000
23, 995000, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 0, 1000000, 999000, 1999000, 1999000, 3997000, 3997000, 6995000, 8993000, 11992000, 14989000, 18987000, 27980000
24, 999000, 0, 0, 0, 0, 0, 0, 999000, 0, 999000, 0, 1001000, 998000, 2000000, 1998000, 2998000, 4977000, 5986000, 8994000, 9994000, 15988000, 19987000, 27979000, 37070000
25, 998000, 0, 0, 0, 1000000, 0, 0, 0, 999000, 999000, 1000000, 999000, 999000, 1998000, 3998000, 2997000, 3999000, 6995000, 7993000, 11991000, 15990000, 21052000, 30979000, 38971000, 52968000
26, 2997000, 0, 0, 0, 999000, 0, 0, 0, 999000, 0, 1000000, 999000, 999000, 1999000, 2999000, 2998000, 4994000, 5996000, 9994000, 12991000, 16993000, 21984000, 39972000, 49969000, 57961000, 74947000
27, 1998000, 0, 0, 0, 0, 0, 999000, 0, 0, 999000, 1000000, 999000, 999000, 1999000, 2998000, 5996000, 5996000, 6995000, 8992000, 12992000, 16989000, 23982000, 30979000, 42200000, 58959000, 78001000, 106020000
28, 5996000, 0, 1000000, 0, 0, 0, 999000, 0, 999000, 0, 1000000, 1999000, 998000, 2998000, 2998000, 3996000, 4998000, 6993000, 9994000, 12992000, 16988000, 23983000, 32976000, 45973000, 59960000, 80941000, 110926000, 155891000
29, 4993000, 0, 1000000, 0, 0, 999000, 0, 0, 999000, 999000, 1002000, 997000, 1998000, 2003000, 2994000, 4997000, 4996000, 6995000, 10994000, 12989000, 18986000, 25982000, 32976000, 46475000, 66952000, 86939000, 115919000, 161891000, 215862000
30, 6998000, 0, 0, 0, 0, 999000, 0, 0, 1000000, 0, 1999000, 999000, 1998000, 1999000, 3002000, 3997000, 5995000, 6996000, 10993000, 12989000, 19986000, 24983000, 35979000, 47966000, 64960000, 88940000, 120919000, 167886000, 219857000, 299797000
31, 9990000, 0, 1002000, 0, 0, 999000, 0, 0, 1000000, 0, 998000, 999000, 1999000, 1999000, 2997000, 4996000, 5996000, 7994000, 9993000, 14994000, 19985000, 26982000, 35974000, 48970000, 68952000, 90936000, 121914000, 169881000, 230838000, 310781000, 422710000
32, 14989000, 0, 0, 1000000, 0, 0, 0, 1000000, 0, 998000, 999000, 1000000, 1999000, 1999000, 2998000, 4995000, 6995000, 7765000, 10992000, 14989000, 19986000, 27982000, 36972000, 50965000, 70953000, 95930000, 148895000, 178875000, 236841000, 356760000, 447691000, 228859000
33, 25483000, 0, 1000000, 0, 999000, 0, 0, 1000000, 0, 999000, 1000000, 997000, 1999000, 2998000, 2998000, 3997000, 5998000, 8993000, 10992000, 15989000, 20985000, 27984000, 39971000, 51970000, 72948000, 100933000, 132909000, 183872000, 240838000, 328284000, 450121000, 247832000, 599099000
34, 26981000, 0, 999000, 0, 0, 0, 1000000, 0, 999000, 0, 999000, 1998000, 2000000, 1998000, 2998000, 4996000, 5996000, 9993000, 12991000, 15990000, 21984000, 28986000, 39970000, 54964000, 73948000, 101932000, 139407000, 186880000, 261823000, 341783000, 261327000, 436263000, 623584000, 823946000
35, 37163000, 0, 999000, 1000000, 0, 0, 999000, 0, 999000, 1000000, 998000, 2000000, 998000, 2998000, 2999000, 4996000, 5995000, 8995000, 12990000, 15988000, 22902000, 28980000, 40970000, 56966000, 78948000, 102933000, 140906000, 191286000, 263825000, 352767000, 480180000, 260824000, 665050000, 883113000, 1203819000
